die_id,status
1,bad
2,bad
3,bad
4,bad
5,bad
6,bad
7,bad
8,bad
9,good
10,good
11,good
22,bad
21,good
20,good
19,good
18,good
17,good
16,good
15,decent
14,good
13,good
12,bad
23,bad
24,bad
25,bad
26,good
27,good
28,bad
29,bad
30,good
31,decent
32,bad
33,decent
44,bad
43,good
42,good
41,good
40,bad
39,bad
38,bad
37,bad
36,bad
35,good
34,bad
45,bad
46,bad
47,bad
48,good
49,bad
50,good
51,bad
52,bad
53,bad
54,good
55,bad
66,bad
65,bad
64,decent
63,good
62,bad
61,bad
60,good
59,bad
58,good
57,bad
56,bad
67,bad
68,bad
69,decent
70,bad
71,bad
72,bad
73,good
74,bad
75,bad
76,bad
77,bad
88,bad
87,bad
86,bad
85,bad
84,bad
83,good
82,bad
81,decent
80,decent
79,bad
78,bad
89,bad
90,bad
91,decent
92,bad
93,bad
94,bad
95,good
96,bad
97,bad
98,bad
99,bad
